route_id,agency_id,route_short_name,route_long_name,route_type,route_url
"1001","KMB","1","竹園邨 - 尖沙咀碼頭","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=1&lang=zh-hk"
"1002","KMB","10","彩雲 - 大角咀(循環線)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=10&lang=zh-hk"
"1006","KMB+CTB","102P","筲箕灣 - 美孚","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=102P&lang=zh-hk|http://mobile.nwstbus.com.hk/nwp3/?f=1&ds=102P&dsmode=1&l=0"
"1008","KMB+CTB","103","竹園邨 - 蒲飛路","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=103&lang=zh-hk|http://mobile.nwstbus.com.hk/nwp3/?f=1&ds=103&dsmode=1&l=0"
"1009","KMB+CTB","103P","蒲飛路 - 旺角(染布房街)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=103&lang=zh-hk|http://mobile.nwstbus.com.hk/nwp3/?f=1&ds=103&dsmode=1&l=0"
"1010","KMB+NWFB","106","黃大仙 - 小西灣(藍灣半島)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=106&lang=zh-hk|http://mobile.nwstbus.com.hk/nwp3/?f=1&ds=106&dsmode=1&l=0"
"1014","KMB","108","啟業 - 寶馬山","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=108&lang=zh-hk"
"1015","KMB+NWFB","109","何文田 - 中環(港澳碼頭)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=109&lang=zh-hk|http://mobile.nwstbus.com.hk/nwp3/?f=1&ds=109&dsmode=1&l=0"
"1016","KMB","11","鑽石山站 - 九龍站","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=11&lang=zh-hk"
"1017","KMB+NWFB","110","筲箕灣 - 尖沙咀(麼地道)(循環線)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=110&lang=zh-hk|http://mobile.nwstbus.com.hk/nwp3/?f=1&ds=110&dsmode=1&l=0"
"1019","KMB+NWFB","112","北角 - 蘇屋","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=112&lang=zh-hk|http://mobile.nwstbus.com.hk/nwp3/?f=1&ds=112&dsmode=1&l=0"
"1021","KMB+NWFB","115","九龍城碼頭 - 中環(港澳碼頭)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=115&lang=zh-hk|http://mobile.nwstbus.com.hk/nwp3/?f=1&ds=115&dsmode=1&l=0"
"1022","KMB+NWFB","115P","海逸豪園 - 中環(港澳碼頭)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=115P&lang=zh-hk|http://mobile.nwstbus.com.hk/nwp3/?f=1&ds=115P&dsmode=1&l=0"
"1023","KMB+NWFB","116","慈雲山(中) - 鰂魚涌","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=116&lang=zh-hk|http://mobile.nwstbus.com.hk/nwp3/?f=1&ds=116&dsmode=1&l=0"
"1024","KMB+CTB","117","深水埗(欽州街) - 跑馬地(下)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=117&lang=zh-hk|http://mobile.nwstbus.com.hk/nwp3/?f=1&ds=117&dsmode=1&l=0"
"1027","KMB","11B","觀塘(翠屏道) - 九龍城碼頭","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=11B&lang=zh-hk"
"1028","KMB","11C","竹園邨 - 秀茂坪(上)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=11C&lang=zh-hk"
"1029","KMB","11D","樂富 - 觀塘碼頭","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=11D&lang=zh-hk"
"1030","KMB","11K","竹園邨 - 紅磡站","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=11K&lang=zh-hk"
"1031","KMB","11X","秀茂坪(上) - 紅磡站","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=11X&lang=zh-hk"
"1032","KMB","12","海麗邨 - 尖沙咀東(麼地道)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=12&lang=zh-hk"
"1033","KMB","12A","黃埔花園 - 長沙灣(深旺道)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=12A&lang=zh-hk"
"1034","KMB","13D","寶達 - 大角咀(維港灣)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=13D&lang=zh-hk"
"1035","KMB","13M","觀塘(雅麗道) - 寶達(循環線)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=13M&lang=zh-hk"
"1036","KMB","13P","寶達 - 麗閣","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=13P&lang=zh-hk"
"1037","KMB","13X","寶達 - 尖沙咀東","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=13X&lang=zh-hk"
"1038","KMB","14","鯉魚門邨 - 中港碼頭","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=14&lang=zh-hk"
"1039","KMB","14B","牛頭角 - 藍田(廣田邨)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=14B&lang=zh-hk"
"1040","KMB","14X","鯉魚門 - 尖沙咀(循環線)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=14X&lang=zh-hk"
"1041","KMB","15","平田 - 紅磡(紅鸞道)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=15&lang=zh-hk"
"1042","KMB","15A","平田 - 慈雲山(北)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=15A&lang=zh-hk"
"1044","KMB","16","藍田(廣田邨) - 旺角(柏景灣)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=16&lang=zh-hk"
"1045","KMB","16M","觀塘站 - 藍田(康華苑) (循環線)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=16M&lang=zh-hk"
"1046","KMB","17","觀塘(裕民坊) - 愛民","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=17&lang=zh-hk"
"1047","KMB+CTB","170","沙田站 - 華富(中)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=170&lang=zh-hk|http://mobile.nwstbus.com.hk/nwp3/?f=1&ds=170&dsmode=1&l=0"
"1050","KMB","18","長沙灣(深旺道) - 愛民(循環線)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=18&lang=zh-hk"
"1051","KMB+CTB","182","愉翠苑 - 中環(港澳碼頭)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=182&lang=zh-hk|http://mobile.nwstbus.com.hk/nwp3/?f=1&ds=182&dsmode=1&l=0"
"1053","KMB","1A","秀茂坪(中) - 尖沙咀碼頭","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=1A&lang=zh-hk"
"1054","KMB","2","尖沙咀碼頭 - 蘇屋","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=2&lang=zh-hk"
"1055","KMB","203C","大坑東 - 尖沙咀東(麼地道)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=203C&lang=zh-hk"
"1056","KMB","203E","彩虹 - 九龍站","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=203E&lang=zh-hk"
"1057","KMB","208","廣播道 - 尖沙咀東","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=208&lang=zh-hk"
"1058","KMB","21","彩雲 - 紅磡站","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=21&lang=zh-hk"
"1059","KMB","211","翠竹花園 - 黃大仙站(循環線)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=211&lang=zh-hk"
"1061","KMB","215X","藍田(廣田邨) - 九龍站","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=215X&lang=zh-hk"
"1062","KMB","216M","藍田站 - 油塘站(循環線)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=216M&lang=zh-hk"
"1064","KMB","219X","麗港城 - 尖沙咀(循環線)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=219X&lang=zh-hk"
"1066","KMB","224X","啟業 - 尖沙咀東(循環線)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=224X&lang=zh-hk"
"1067","KMB","23","觀塘碼頭 - 順利(循環線)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=23&lang=zh-hk"
"1068","KMB","230X","荃威花園 - 黃埔花園","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=230X&lang=zh-hk"
"1069","KMB","234A","浪翠園 - 荃灣西站公共運輸交匯處","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=234A&lang=zh-hk"
"1070","KMB","234B","荃灣西站公共運輸交匯處 - 浪翠園","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=234B&lang=zh-hk"
"1071","KMB","234P","灣景花園 - 尖沙咀碼頭","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=234P&lang=zh-hk"
"1073","KMB","234X","尖沙咀東(麼地道) - 灣景花園","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=234X&lang=zh-hk"
"1074","KMB","235","安蔭 - 荃灣(循環線)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=235&lang=zh-hk"
"1075","KMB","235M","安蔭 - 葵芳站","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=235M&lang=zh-hk"
"1076","KMB","237A","葵盛(中) - 尖沙咀東(梳士巴利道)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=237A&lang=zh-hk"
"1077","KMB","238M","海濱花園 - 荃灣站","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=238M&lang=zh-hk"
"1078","KMB","238P","海濱花園 - 中港碼頭","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=238P&lang=zh-hk"
"1079","KMB","238X","海濱花園 - 中港碼頭","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=238X&lang=zh-hk"
"1081","KMB","24","啟業 - 旺角(循環線)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=24&lang=zh-hk"
"1083","KMB","243M","美景花園 - 荃灣(愉景新城)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=243M&lang=zh-hk"
"1084","KMB","243P","美景花園 - 荃灣(愉景新城)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=243P&lang=zh-hk"
"1085","KMB","248M","長宏 - 青衣站","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=248M&lang=zh-hk"
"1087","KMB","249M","青衣站 - 美景花園(循環線)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=249M&lang=zh-hk"
"1088","KMB","249X","博康 - 青衣站","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=249X&lang=zh-hk"
"1089","KMB","252B","恒順園 - 尖沙咀","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=252B&lang=zh-hk"
"1090","KMB","258P","洪水橋 - 藍田站","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=258P&lang=zh-hk"
"1091","KMB","258D","寶田 - 藍田站","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=258D&lang=zh-hk"
"1092","KMB","259B","屯門碼頭 - 尖沙咀","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=259B&lang=zh-hk"
"1093","KMB","259C","新屯門中心 - 尖沙咀","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=259C&lang=zh-hk"
"1094","KMB","259D","龍門居 - 鯉魚門邨(不經屯門市中心)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=259D&lang=zh-hk"
"1095","KMB","259E","龍門居 - 荃灣站","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=259E&lang=zh-hk"
"1096","KMB","26","順天 - 尖沙咀東","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=26&lang=zh-hk"
"1098","KMB","260B","屯門市中心 - 尖沙咀","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=260B&lang=zh-hk"
"1099","KMB","260C","三聖 - 葵芳站","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=260C&lang=zh-hk"
"1101","KMB","260X","寶田 - 紅磡站","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=260X&lang=zh-hk"
"1102","KMB","261","三聖 - 天平邨","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=261&lang=zh-hk"
"1103","KMB","261B","三聖 - 九龍站","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=261B&lang=zh-hk"
"1104","KMB","261P","五柳路(青麟路) - 天平邨","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=261P&lang=zh-hk"
"1105","KMB","263","屯門站 - 沙田站","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=263&lang=zh-hk"
"1108","KMB","265B","天恆邨 - 旺角(柏景灣)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=265B&lang=zh-hk"
"1109","KMB","265M","天恆邨 - 麗瑤","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=265M&lang=zh-hk"
"1111","KMB","265S","天水圍市中心 - 大埔工業邨","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=265S&lang=zh-hk"
"1113","KMB","268B","朗屏站 - 紅磡(紅鸞道)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=268B&lang=zh-hk"
"1114","KMB","268C","朗屏站 - 觀塘碼頭","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=268C&lang=zh-hk"
"1115","KMB","269B","天水圍市中心 - 紅磡(紅鸞道)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=269B&lang=zh-hk"
"1116","KMB","269C","天水圍市中心 - 觀塘碼頭","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=269C&lang=zh-hk"
"1117","KMB","269D","天富 - 瀝源","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=269D&lang=zh-hk"
"1118","KMB","269M","天恩邨 - 祖堯","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=269M&lang=zh-hk"
"1119","KMB","26M","彩虹 - 觀塘(循環線)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=26M&lang=zh-hk"
"1120","KMB","27","順天 - 旺角(循環線)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=27&lang=zh-hk"
