agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone,agency_email
"CTB","城巴","http://www.nwstbus.com.hk","UTC+08:00","zh-CN","+85228730818","webmaster@citybus.com.hk"
"KMB","九龙巴士","http://www.kmb.com.hk","UTC+08:00","zh-CN","+85227454466","kowloonbus@kmb.hk"
"KMB+CTB","九龙巴士|城巴","http://www.kmb.hk|http://www.nwstbus.com.hk","UTC+08:00","zh-CN","+85227454466|+85228730818","kowloonbus@kmb.hk|webmaster@citybus.com.hk"
"KMB+NWFB","九龙巴士|新世界第一巴士","http://www.kmb.hk|http://www.nwstbus.com.hk","UTC+08:00","zh-CN","+85227454466|+85221368888","kowloonbus@kmb.hk|bus_ideas@nwfb.com.hk"
"LWB+CTB","龙运巴士|城巴","http://www.lwb.hk|http://www.nwstbus.com.hk","UTC+08:00","zh-CN","+85222612791|+85228730818","kowloonbus@kmb.hk|webmaster@citybus.com.hk"
"NLB","新大屿山巴士","http://www.newlantaobus.com","UTC+08:00","zh-CN","+85229849848","info@nlb.com.hk"
"NWFB","新世界第一巴士","http://www.nwstbus.com.hk","UTC+08:00","zh-CN","+85221368888","bus_ideas@nwfb.com.hk"
"PI","珀丽湾客运（巴士服务）","http://www.pitcl.com.hk","UTC+08:00","zh-CN","+85229468888","enquiry@pitcl.com.hk"
"LWB","龙运巴士","http://www.lwb.hk","UTC+08:00","zh-CN","+85222612791","kowloonbus@kmb.hk"
"DB","愉景湾交通服务（巴士服务）","http://www.dbcommunity.hk","UTC+08:00","zh-CN","+85229877351","N/A"
"LRTFeeder","港铁巴士","http://www.mtr.com.hk","UTC+08:00","zh-CN","+85228818888","N/A"
"XB","落马洲过境巴士服务","https://www.td.gov.hk/sc/transport_in_hong_kong/land_based_cross_boundary_transport/access_to_lok_ma_chau_control_point","UTC+08:00","zh-CN","+85228042600","tdenq@td.gov.hk"
"GMB","绿色专线小巴服务","https://www.td.gov.hk/sc/transport_in_hong_kong/public_transport/minibuses","UTC+08:00","zh-CN","+85228042600","tdenq@td.gov.hk"
"FERRY","渡轮服务","https://www.td.gov.hk/sc/transport_in_hong_kong/public_transport/ferries","UTC+08:00","zh-CN","+85228042600","tdenq@td.gov.hk"
"PTRAM","山顶缆车","https://www.thepeak.com.hk/zh-hans/the-peak-experience/the-peak-tram","UTC+08:00","zh-CN","+85225220922","info@thepeak.com.hk"
"TRAM","香港电车","https://www.hktramways.com","UTC+08:00","zh-CN","+85225487102","enquiry@hktramways.com"
