route_id,agency_id,route_short_name,route_long_name,route_type,route_url
"1001","KMB","1","竹园邨 - 尖沙咀码头","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=1&lang=zh-cn"
"1002","KMB","10","彩云 - 大角咀(循环线)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=10&lang=zh-cn"
"1006","KMB+CTB","102P","筲箕湾 - 美孚","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=102P&lang=zh-cn|http://mobile.nwstbus.com.hk/nwp3/?f=1&ds=102P&dsmode=1&l=2"
"1008","KMB+CTB","103","竹园邨 - 蒲飞路","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=103&lang=zh-cn|http://mobile.nwstbus.com.hk/nwp3/?f=1&ds=103&dsmode=1&l=2"
"1009","KMB+CTB","103P","蒲飞路 - 旺角(染布房街)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=103&lang=zh-cn|http://mobile.nwstbus.com.hk/nwp3/?f=1&ds=103&dsmode=1&l=2"
"1010","KMB+NWFB","106","黄大仙 - 小西湾(蓝湾半岛)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=106&lang=zh-cn|http://mobile.nwstbus.com.hk/nwp3/?f=1&ds=106&dsmode=1&l=2"
"1014","KMB","108","启业 - 宝马山","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=108&lang=zh-cn"
"1015","KMB+NWFB","109","何文田 - 中环(港澳码头)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=109&lang=zh-cn|http://mobile.nwstbus.com.hk/nwp3/?f=1&ds=109&dsmode=1&l=2"
"1016","KMB","11","钻石山站 - 九龙站","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=11&lang=zh-cn"
"1017","KMB+NWFB","110","筲箕湾 - 尖沙咀(么地道)(循环线)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=110&lang=zh-cn|http://mobile.nwstbus.com.hk/nwp3/?f=1&ds=110&dsmode=1&l=2"
