agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone,agency_email
"CTB","Citybus","http://www.nwstbus.com.hk","UTC+08:00","EN","+85228730818","webmaster@citybus.com.hk"
"KMB","Kowloon Motor Bus","http://www.kmb.com.hk","UTC+08:00","EN","+85227454466","kowloonbus@kmb.hk"
"KMB+CTB","Kowloon Motor Bus|Citybus","http://www.kmb.hk|http://www.nwstbus.com.hk","UTC+08:00","EN","+85227454466|+85228730818","kowloonbus@kmb.hk|webmaster@citybus.com.hk"
"KMB+NWFB","Kowloon Motor Bus|New World First Bus","http://www.kmb.hk|http://www.nwstbus.com.hk","UTC+08:00","EN","+85227454466|+85221368888","kowloonbus@kmb.hk|bus_ideas@nwfb.com.hk"
"LWB+CTB","Long Win Bus|Citybus","http://www.lwb.hk|http://www.nwstbus.com.hk","UTC+08:00","EN","+85222612791|+85228730818","kowloonbus@kmb.hk|webmaster@citybus.com.hk"
"NLB","New Lantao Bus","http://www.newlantaobus.com","UTC+08:00","EN","+85229849848","info@nlb.com.hk"
"NWFB","New World First Bus","http://www.nwstbus.com.hk","UTC+08:00","EN","+85221368888","bus_ideas@nwfb.com.hk"
"PI","Park Island Transport (Bus Services)","http://www.pitcl.com.hk","UTC+08:00","EN","+85229468888","enquiry@pitcl.com.hk"
"LWB","Long Win Bus","http://www.lwb.hk","UTC+08:00","EN","+85222612791","kowloonbus@kmb.hk"
"DB","Discovery Bay Transit Services (Bus Services)","http://www.dbcommunity.hk","UTC+08:00","EN","+85229877351","N/A"
"LRTFeeder","MTR Bus","http://www.mtr.com.hk","UTC+08:00","EN","+85228818888","N/A"
"XB","Lok Ma Chau Crossing-boundary Coach Services","https://www.td.gov.hk/en/transport_in_hong_kong/land_based_cross_boundary_transport/access_to_lok_ma_chau_control_point","UTC+08:00","EN","+85228042600","tdenq@td.gov.hk"
"GMB","Green Minibus Services","https://www.td.gov.hk/en/transport_in_hong_kong/public_transport/minibuses","UTC+08:00","en","+85228042600","tdenq@td.gov.hk"
"FERRY","Ferry Services","https://www.td.gov.hk/en/transport_in_hong_kong/public_transport/ferries","UTC+08:00","en","+85228042600","tdenq@td.gov.hk"
"PTRAM","Peak Tram","https://www.thepeak.com.hk/en/the-peak-experience/the-peak-tram","UTC+08:00","en","+85225220922","info@thepeak.com.hk"
"TRAM","HK Tramways","https://www.hktramways.com","UTC+08:00","en","+85225487102","enquiry@hktramways.com"
