service_id,date,exception_type
"31","20190101","2"
"31","20190205","2"
"31","20190206","2"
"31","20190207","2"
"31","20190405","2"
"31","20190419","2"
"31","20190422","2"
"31","20190501","2"
"31","20190513","2"
"31","20190607","2"
"31","20190701","2"
"31","20191001","2"
"31","20191007","2"
"31","20191225","2"
"31","20191226","2"
"63","20190101","2"
"63","20190205","2"
"63","20190206","2"
"63","20190207","2"
"63","20190405","2"
"63","20190419","2"
"63","20190420","2"
"63","20190422","2"
"63","20190501","2"
"63","20190513","2"
"63","20190607","2"
"63","20190701","2"
"63","20190914","2"
"63","20191001","2"
"63","20191007","2"
"63","20191225","2"
"63","20191226","2"
"266","20190101","2"
"266","20190205","2"
"266","20190206","2"
"266","20190207","2"
"266","20190501","2"
"266","20191001","2"
"266","20191225","2"
"266","20191226","2"
"271","20190101","2"
"271","20190205","2"
"271","20190206","2"
"271","20190207","2"
"271","20190422","2"
"271","20190501","2"
"271","20190513","2"
"271","20190701","2"
"271","20191001","2"
"271","20191007","2"
"271","20191225","2"
"271","20191226","2"
"272","20190405","2"
"272","20190419","2"
"272","20190607","2"
"287","20190101","2"
"287","20190205","2"
"287","20190206","2"
"287","20190207","2"
"287","20190405","2"
"287","20190419","2"
"287","20190422","2"
"287","20190501","2"
"287","20190513","2"
"287","20190607","2"
"287","20190701","2"
"287","20191001","2"
"287","20191007","2"
"287","20191225","2"
"287","20191226","2"
"288","20190420","2"
"288","20190914","2"
"319","20190101","2"
"319","20190205","2"
"319","20190206","2"
"319","20190207","2"
"319","20190405","2"
"319","20190419","2"
"319","20190420","2"
"319","20190422","2"
"319","20190501","2"
"319","20190513","2"
"319","20190607","2"
"319","20190701","2"
"319","20190914","2"
"319","20191001","2"
"319","20191007","2"
"319","20191225","2"
"319","20191226","2"
"415","20190101","2"
"415","20190205","2"
"415","20190206","2"
"415","20190207","2"
"415","20190405","2"
"415","20190419","2"
"415","20190422","2"
"415","20190501","2"
"415","20190513","2"
"415","20190607","2"
"415","20190701","2"
"415","20191001","2"
"415","20191007","2"
"415","20191225","2"
"415","20191226","2"
"416","20190420","2"
"416","20190914","2"
"447","20190101","2"
"447","20190205","2"
"447","20190206","2"
"447","20190207","2"
"447","20190405","2"
"447","20190419","2"
"447","20190420","2"
"447","20190422","2"
"447","20190501","2"
"447","20190513","2"
"447","20190607","2"
"447","20190701","2"
"447","20190914","2"
"447","20191001","2"
"447","20191007","2"
"447","20191225","2"
"447","20191226","2"
"480","20190420","2"
"480","20190914","2"
"511","20190101","2"
"511","20190205","2"
"511","20190206","2"
"511","20190207","2"
"511","20190405","2"
"511","20190419","2"
"511","20190420","2"
"511","20190422","2"
"511","20190501","2"
"511","20190513","2"
"511","20190607","2"
"511","20190701","2"
"511","20190914","2"
"511","20191001","2"
"511","20191007","2"
"511","20191225","2"
"511","20191226","2"
